Referrer Zip Code,Days between Records Requested and Received Median,Days between Records Requested and Received Q1,Days between Records Requested and Received Q3,Days between Records Requested and Received Iqr,Days between Films Requested and Received Median,Days between Films Requested and Received Q1,Days between Films Requested and Received Q3,Days between Films Requested and Received Iqr,Days between Initial Contact and IV Median,Days between Initial Contact and IV Q1,Days between Initial Contact and IV Q3,Days between Initial Contact and IV Iqr,Days between Initial Contact and Surgery Median,Days between Initial Contact and Surgery Q1,Days between Initial Contact and Surgery Q3,Days between Initial Contact and Surgery Iqr,Number of Records
nan,5.0,2.0,12.0,10.0,7.0,4.0,14.25,10.25,44.0,29.5,62.5,33.0,46.5,26.0,73.25,47.25,239
22901,3.0,1.0,6.0,5.0,3.0,1.0,7.0,6.0,36.0,18.25,55.75,37.5,,,,,71
22801,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,31.0,21.0,48.75,27.75,,,,,51
24401,2.0,1.0,9.0,8.0,2.0,1.0,4.0,3.0,42.0,21.25,67.25,46.0,12.0,12.0,12.0,0.0,43
22980,6.5,1.0,10.25,9.25,4.0,1.0,6.5,5.5,27.5,15.75,44.75,29.0,,,,,40
22903,5.0,1.0,7.0,6.0,6.0,5.5,8.5,3.0,38.5,26.5,53.0,26.5,,,,,40
22407,3.5,1.0,8.0,7.0,6.0,3.5,11.0,7.5,40.5,26.0,54.25,28.25,47.0,43.75,58.75,15.0,38
22701,5.0,1.0,9.0,8.0,9.0,5.5,14.5,9.0,44.0,31.75,56.75,25.0,21.0,21.0,21.0,0.0,36
24502,2.0,1.0,3.0,2.0,6.0,2.0,7.0,5.0,43.0,22.0,67.0,45.0,82.0,82.0,82.0,0.0,35
20147,10.0,1.75,20.75,19.0,9.0,4.0,19.5,15.5,50.5,37.0,57.75,20.75,28.0,22.5,33.0,10.5,32
22902,2.5,0.25,6.5,6.25,5.0,2.5,18.5,16.0,42.0,37.0,55.0,18.0,,,,,30
22802,1.0,0.0,2.0,2.0,2.5,1.0,6.25,5.25,28.0,16.5,43.75,27.25,12.0,12.0,12.0,0.0,28
23185,1.0,0.0,6.75,6.75,5.5,4.0,11.5,7.5,47.0,25.0,69.0,44.0,45.0,37.0,46.5,9.5,26
24551,2.5,0.25,12.25,12.0,5.0,2.0,16.75,14.75,47.0,40.0,71.0,31.0,,,,,25
24450,4.0,1.0,6.0,5.0,8.0,3.0,15.5,12.5,42.0,28.0,82.75,54.75,29.0,29.0,29.0,0.0,24
24018,3.5,1.25,7.0,5.75,5.0,2.0,10.5,8.5,40.0,28.0,62.0,34.0,28.0,28.0,28.0,0.0,24
22630,8.0,3.0,11.5,8.5,7.5,2.5,12.25,9.75,34.0,18.5,59.5,41.0,45.0,45.0,45.0,0.0,24
24501,3.0,2.0,10.5,8.5,2.5,1.75,7.0,5.25,50.0,20.75,132.25,111.5,,,,,23
22911,2.0,0.75,4.5,3.75,2.0,0.25,3.75,3.5,21.5,16.0,35.5,19.5,,,,,23
23188,4.0,1.0,14.0,13.0,7.0,4.5,13.25,8.75,43.0,32.75,56.25,23.5,66.0,66.0,66.0,0.0,23
22655,2.5,1.0,3.25,2.25,3.0,2.0,13.0,11.0,40.0,29.0,58.5,29.5,38.0,38.0,38.0,0.0,21
22963,3.0,1.0,15.0,14.0,3.0,1.0,15.0,14.0,42.0,26.25,57.25,31.0,60.0,60.0,60.0,0.0,21
23454,5.0,2.5,7.25,4.75,6.0,5.0,8.0,3.0,61.0,32.0,75.0,43.0,16.0,12.0,72.5,60.5,20
24540,2.0,1.0,6.0,5.0,6.5,2.0,19.75,17.75,28.0,17.0,57.0,40.0,14.0,14.0,14.0,0.0,20
22602,2.0,1.5,7.5,6.0,4.0,1.5,17.0,15.5,45.0,23.75,60.75,37.0,,,,,20
22405,13.0,1.0,39.0,38.0,13.0,2.0,43.0,41.0,57.5,32.5,92.25,59.75,28.0,28.0,28.0,0.0,20
24060,5.5,0.5,11.5,11.0,5.5,4.0,12.25,8.25,56.0,22.0,71.5,49.5,35.0,19.5,50.5,31.0,20
20171,6.5,3.5,8.75,5.25,7.0,4.5,9.5,5.0,24.0,15.25,51.25,36.0,,,,,20
23464,6.5,1.5,10.75,9.25,11.0,4.0,14.0,10.0,54.0,45.0,76.0,31.0,,,,,19
25801,3.0,1.75,6.25,4.5,6.0,5.0,7.0,2.0,30.0,21.5,52.0,30.5,,,,,19
22553,1.0,1.0,3.5,2.5,3.0,1.0,19.0,18.0,27.0,20.0,67.5,47.5,6.0,6.0,6.0,0.0,19
24019,3.0,0.25,5.75,5.5,6.0,2.5,13.0,10.5,35.5,26.75,59.75,33.0,92.0,92.0,92.0,0.0,18
22968,1.0,0.5,4.5,4.0,4.0,1.0,5.5,4.5,31.5,23.75,49.0,25.25,,,,,18
